panel_member_id,target_metal,topology_class,replicate_id,seed,success_status,failure_reason,mean_temperature_K,final_temperature_K,mean_box_volume_nm3,mean_min_metal_oxygen_distance_A,inner_sphere_occupancy_fraction,state_data_path,final_state_path,final_structure_path,screening_log_path,trajectory_path
hans_pocket_ss_only_u02,Dy,hans_monomer,2,102,success,,299.60844665116326,310.7336672948621,185.5796055487287,2.2168597527607674,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_2/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_2/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_2/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_2/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_2/trajectory.dcd
hans_pocket_ss_only_u02,Dy,hans_monomer,3,103,success,,297.2183514891231,301.22418179621553,191.9343944209448,2.2164721126724087,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_3/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_3/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_3/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_3/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_3/trajectory.dcd
hans_pocket_ss_only_u02,Fe,hans_monomer,1,101,success,,297.0864283570717,297.4743073978179,156.06264275705468,1.9281595323081928,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_1/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_1/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_1/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_1/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_1/trajectory.dcd
hans_pocket_ss_only_u02,Fe,hans_monomer,2,102,success,,298.4879845373827,296.499957039446,159.0426924612696,1.9313776064790498,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_2/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_2/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_2/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_2/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_2/trajectory.dcd
hans_pocket_ss_only_u02,Fe,hans_monomer,3,103,success,,297.6073539737791,301.80547138812176,168.04614984744768,1.9278217164691036,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_3/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_3/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_3/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_3/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Fe/replicate_3/trajectory.dcd
hans_pocket_ss_only_u02,Nd,hans_monomer,1,101,success,,298.66187672094134,294.0419352587153,177.07368426651902,2.3196408450885837,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_1/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_1/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_1/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_1/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_1/trajectory.dcd
hans_pocket_ss_only_u02,Nd,hans_monomer,2,102,success,,299.2278418952323,295.7659983603775,159.95062893308943,2.3197042145812556,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_2/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_2/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_2/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_2/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_2/trajectory.dcd
hans_pocket_ss_only_u02,Nd,hans_monomer,3,103,success,,297.57459807087236,307.39566286751506,166.36989126668047,2.318710169780615,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_3/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_3/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_3/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_3/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Nd/replicate_3/trajectory.dcd
hans_pocket_ss_only_u02,Y,hans_monomer,1,101,success,,298.9086812330482,291.69961097413625,192.75171947026385,2.2121951118430565,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_1/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_1/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_1/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_1/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_1/trajectory.dcd
hans_pocket_ss_only_u02,Y,hans_monomer,2,102,success,,298.50192275231586,295.6976159733076,194.28119537738962,2.208914896946631,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_2/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_2/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_2/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_2/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_2/trajectory.dcd
hans_pocket_ss_only_u02,Y,hans_monomer,3,103,success,,297.40351584056793,291.88354991131206,183.25452320374396,2.2075617427158454,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_3/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_3/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_3/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_3/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Y/replicate_3/trajectory.dcd
hans_interface_ss_plus_if_u04,Al,hans_interface_multichain,1,101,success,,297.9625234095763,292.39171365557013,513.3439359449811,1.7230122124900595,1.0,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_1/state_data.csv,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_1/final_state.xml,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_1/final_structure.pdb,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_1/screening_log.txt,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_1/trajectory.dcd
hans_interface_ss_plus_if_u04,Al,hans_interface_multichain,2,102,success,,298.71166544962455,301.46199825072426,519.8522761993302,1.722862582821154,1.0,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_2/state_data.csv,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_2/final_state.xml,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_2/final_structure.pdb,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_2/screening_log.txt,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_2/trajectory.dcd
hans_interface_ss_plus_if_u04,Al,hans_interface_multichain,3,103,success,,298.1478545196403,302.62770488139097,524.4813746695004,1.7244431955947916,1.0,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_3/state_data.csv,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_3/final_state.xml,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_3/final_structure.pdb,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_3/screening_log.txt,results/openmm_screening/hans_interface_ss_plus_if_u04/Al/replicate_3/trajectory.dcd
hans_interface_ss_plus_if_u04,Dy,hans_interface_multichain,1,101,success,,297.69004367064844,302.27889948604525,481.3032250975398,2.2058528528569905,1.0,results/openmm_screening/hans_interface_ss_plus_if_u04/Dy/replicate_1/state_data.csv,results/openmm_screening/hans_interface_ss_plus_if_u04/Dy/replicate_1/final_state.xml,results/openmm_screening/hans_interface_ss_plus_if_u04/Dy/replicate_1/final_structure.pdb,results/openmm_screening/hans_interface_ss_plus_if_u04/Dy/replicate_1/screening_log.txt,results/openmm_screening/hans_interface_ss_plus_if_u04/Dy/replicate_1/trajectory.dcd
hans_interface_ss_plus_if_u04,Dy,hans_interface_multichain,2,102,success,,298.1682264881871,301.6368969878902,488.9677462750107,2.207140430661472,1.0,results/openmm_screening/hans_interface_ss_plus_if_u04/Dy/replicate_2/state_data.csv,results/openmm_screening/hans_interface_ss_plus_if_u04/Dy/replicate_2/final_state.xml,results/openmm_screening/hans_interface_ss_plus_if_u04/Dy/replicate_2/final_structure.pdb,results/openmm_screening/hans_interface_ss_plus_if_u04/Dy/replicate_2/screening_log.txt,results/openmm_screening/hans_interface_ss_plus_if_u04/Dy/replicate_2/trajectory.dcd
